submitter,blobs,firstBlob
Base,"316586",March 14th
Taiko,"59547",May 27th
Arbitrum,"192138",March 14th
OP Mainnet,"156076",March 14th
Scroll,"71684",April 29th
Blast,"15974",May 27th
Linea,"56114",March 26th
Paradex,"17747",March 14th
Metal,"4764",March 27th
zkSync,"45206",March 13th
StarkNet,"39356",March 13th
Inscriptions,"111547",March 13th
Rari,"4528",May 19th
Mode,"15362",March 14th
Kroma,"8575",April 25th
Zora,"15931",March 14th
Optopia,"2420",May 10th
Boba Network,"2703",April 16th
Camp Network,"1548",April 11th
Public Goods Network,752,April 11th
Debank Chain,146,June 4th
Lambda,"1209",April 17th
Mint,476,May 13th
Lisk,407,May 3rd
Lumio,256,May 15th
