block_number,gasUsed,blobGasUsed
1,15194595,62368
2,15202560,206747
3,15216332,126448
4,15224781,122697
5,15234788,114160
6,15207493,115488
7,15207359,134330
8,15217171,134549
9,15212268,123808
10,15198751,120731
11,15225060,113595
12,15222991,119767
13,15181684,133383
14,15163273,182244
15,15198789,352219
16,15170721,392906
17,15194918,393525
18,15180883,393907
19,15187000,393288
20,15176856,393143
21,15165980,392888
22,15155394,361940
23,15170189,281131
24,15169931,218234
25,15193239,182135
26,15189498,182718
27,15173977,201013
28,15182087,198574
29,15169470,186522
30,15168169,361776
31,15172279,174343
32,15196693,185958
33,15220164,192876
34,15187558,201978
35,15244511,178876
36,15185734,185357
37,15185380,170266
38,15201318,151988
39,15218482,151697
40,15187174,167025
41,15165557,175272
42,15161453,180132
43,15177731,191965
44,15181088,195169
45,15227390,177821
46,15216503,170211
47,15200005,187232
48,15172712,200940
49,15194126,198919
50,15179653,198027
51,15172350,201905
52,15191360,186213
53,15201776,184192
54,15186063,190400
55,15188925,232944
56,15192829,224114
57,15202831,231615
58,15213391,238696
59,15177713,190254
60,15232491,191019
61,15209230,202142
62,15168343,204381
63,15194652,190891
64,15157042,200449
65,15196180,208313
66,15211859,195552
67,15241791,192275
68,15240091,205018
69,15125857,228611
70,15156337,228411
71,15192070,228811
72,15140128,229576
73,15187415,214994
74,15187456,209587
75,15182772,240462
76,15170996,287666
77,15145450,322855
78,15160407,309785
79,15139841,306672
80,15144260,300191
81,15149401,291708
82,15120341,318978
83,15139382,329737
84,15146732,318794
